lockitver|DO NOT DELETE THIS LINE! - Pferd % Schwert: Eine Deutschkorrektur - 28.06.2017 - Xyarvius 
hint_1|Armbrüste verlieren bei Regen an Durchschlagskraft.
hint_2|Pferde und Krieger sind bei regnerischem Wetter langsamer als normal.
hint_3|Durch Gedrückthalten der Leertaste könnt Ihr auf der Weltkarte warten.
hint_4|In Schänken könnt Ihr gegen klingende Münzen Söldner oder Gefährten anheuern.
hint_5|Ihr könnt Eurer Truppe in Gefechten Befehle erteilen.
hint_6|Eine Truppe mit hoher Moral bewegt sich auf der Karte schneller fort.
hint_7|Verwundete Truppenmitglieder genesen während der Rast in Schänken schneller als normal.
hint_8|Haltet zum schnelleren Handeln im Inventarfenster die Strg-Taste gedrückt, während Ihr die linke Maustaste betätigt.
hint_9|Mit der Rück-Taste könnt Ihr während Gefechten das Kommandofenster aufrufen.
hint_10|Während Ihr Euch in einer Stadt oder in einer Burg aufhaltet, müsst Ihr Euren Kriegern nur den halben Sold zahlen. Gleiches gilt auch für Truppen, die Ihr als Garnison in einer Burg stationiert.
hint_11|Die Tabulator-Taste ermöglicht es Euch, fast jeden Ort sofort zu verlassen.
hint_12|Wenn Ihr die Umschalt-Taste gedrückt haltet, könnt Ihr die Ansicht vergrößern, um besser auf weit entfernte Feinde zu zielen.
